r,U
0.8563,77.9512
0.8626,69.2982
0.8689,61.5181
0.8752,54.5217
0.8815,48.2297
0.8878,42.5708
0.8941,37.4813
0.9004,32.9042
0.9067,28.7883
0.913,25.0878
0.9193,21.7613
0.9256,18.772
0.9319,16.0867
0.9382,13.6753
0.9445,11.5111
0.9508,9.56996
0.9571,7.82999
0.9634,6.27161
0.9697,4.87717
0.976,3.63072
0.9823,2.51789
0.9886,1.52572
0.9949,0.642486
1.0012,-0.142369
1.0075,-0.838397
1.0138,-1.45423
1.0201,-1.99766
1.0264,-2.47575
1.0327,-2.89488
1.039,-3.2608
1.0453,-3.57876
1.0516,-3.85347
1.0579,-4.08922
1.0642,-4.28987
1.0705,-4.45895
1.0768,-4.59961
1.0831,-4.71475
1.0894,-4.80698
1.0957,-4.87864
1.102,-4.93189
1.1083,-4.96867
1.1146,-4.99072
1.1209,-4.99965
1.1272,-4.99689
1.1335,-4.98374
1.1398,-4.9614
1.1461,-4.93092
1.1524,-4.89328
1.1587,-4.84936
1.165,-4.79994
1.1713,-4.74575
1.1776,-4.68742
1.1839,-4.62555
1.1902,-4.56066
1.1965,-4.49323
1.2028,-4.42368
1.2091,-4.35241
1.2154,-4.27975
1.2217,-4.20603
1.228,-4.13151
1.2343,-4.05646
1.2406,-3.9811
1.2469,-3.90562
1.2532,-3.8302
1.2595,-3.75501
1.2658,-3.68019
1.2721,-3.60585
1.2784,-3.53212
1.2847,-3.45908
1.291,-3.38682
1.2973,-3.31541
1.3036,-3.24492
1.3099,-3.1754
1.3162,-3.1069
1.3225,-3.03946
1.3288,-2.9731
1.3351,-2.90786
1.3414,-2.84376
1.3477,-2.78081
1.354,-2.71902
1.3603,-2.65841
1.3666,-2.59897
1.3729,-2.54071
1.3792,-2.48362
1.3855,-2.42771
1.3918,-2.37296
1.3981,-2.31937
1.4044,-2.26693
1.4107,-2.21562
1.417,-2.16544
1.4233,-2.11637
1.4296,-2.0684
1.4359,-2.0215
1.4422,-1.97567
1.4485,-1.93088
1.4548,-1.88712
1.4611,-1.84437
1.4674,-1.80261
1.4737,-1.76183
1.48,-1.722
1.4863,-1.68311
1.4926,-1.64514
1.4989,-1.60807
1.5052,-1.57187
1.5115,-1.53654
1.5178,-1.50205
1.5241,-1.46838
1.5304,-1.43552
1.5367,-1.40345
1.543,-1.37214
1.5493,-1.34159
1.5556,-1.31178
1.5619,-1.28268
1.5682,-1.25428
1.5745,-1.22656
1.5808,-1.19952
1.5871,-1.17312
1.5934,-1.14736
1.5997,-1.12222
1.606,-1.09769
1.6123,-1.07374
1.6186,-1.05037
1.6249,-1.02757
1.6312,-1.00531
1.6375,-0.983581
1.6438,-0.962377
1.6501,-0.94168
1.6564,-0.921478
1.6627,-0.901758
1.669,-0.882509
1.6753,-0.863719
1.6816,-0.845375
1.6879,-0.827468
1.6942,-0.809985
1.7005,-0.792917
1.7068,-0.776251
1.7131,-0.75998
1.7194,-0.744091
1.7257,-0.728577
1.732,-0.713427
1.7383,-0.698631
1.7446,-0.684182
1.7509,-0.670071
1.7572,-0.656288
1.7635,-0.642825
1.7698,-0.629675
1.7761,-0.61683
1.7824,-0.604281
1.7887,-0.592022
1.795,-0.580045
1.8013,-0.568343
1.8076,-0.556909
1.8139,-0.545736
1.8202,-0.534818
1.8265,-0.524149
1.8328,-0.513722
1.8391,-0.503531
1.8454,-0.49357
1.8517,-0.483834
1.858,-0.474317
1.8643,-0.465014
1.8706,-0.455919
1.8769,-0.447027
1.8832,-0.438333
1.8895,-0.429832
1.8958,-0.42152
1.9021,-0.413391
1.9084,-0.405442
1.9147,-0.397668
1.921,-0.390065
1.9273,-0.382628
1.9336,-0.375353
1.9399,-0.368237
1.9462,-0.361276
1.9525,-0.354465
1.9588,-0.347802
1.9651,-0.341282
1.9714,-0.334903
1.9777,-0.328661
1.984,-0.322552
1.9903,-0.316574
1.9966,-0.310723
2.0029,-0.304996
2.0092,-0.299391
2.0155,-0.293904
2.0218,-0.288533
2.0281,-0.283275
2.0344,-0.278127
2.0407,-0.273086
2.047,-0.268151
2.0533,-0.263318
2.0596,-0.258586
2.0659,-0.253952
2.0722,-0.249413
2.0785,-0.244968
2.0848,-0.240615
2.0911,-0.23635
2.0974,-0.232172
2.1037,-0.22808
2.11,-0.224071
2.1163,-0.220143
2.1226,-0.216295
2.1289,-0.212524
2.1352,-0.208829
2.1415,-0.205208
2.1478,-0.20166
2.1541,-0.198183
2.1604,-0.194775
2.1667,-0.191434
2.173,-0.18816
2.1793,-0.18495
2.1856,-0.181804
2.1919,-0.178719
2.1982,-0.175695
2.2045,-0.172731
2.2108,-0.169823
2.2171,-0.166973
2.2234,-0.164178
2.2297,-0.161437
2.236,-0.158749
2.2423,-0.156112
2.2486,-0.153527
2.2549,-0.150991
2.2612,-0.148503
2.2675,-0.146063
2.2738,-0.143669
2.2801,-0.14132
2.2864,-0.139016
2.2927,-0.136756
2.299,-0.134538
2.3053,-0.132362
2.3116,-0.130226
2.3179,-0.12813
2.3242,-0.126074
2.3305,-0.124056
2.3368,-0.122075
2.3431,-0.12013
2.3494,-0.118222
2.3557,-0.116349
2.362,-0.11451
2.3683,-0.112705
2.3746,-0.110932
2.3809,-0.109192
2.3872,-0.107484
2.3935,-0.105807
2.3998,-0.10416
2.4061,-0.102543
2.4124,-0.100954
2.4187,-0.0993947
2.425,-0.097863
2.4313,-0.0963587
2.4376,-0.0948812
2.4439,-0.09343
2.4502,-0.0920045
2.4565,-0.0906042
2.4628,-0.0892287
2.4691,-0.0878774
2.4754,-0.0865498
2.4817,-0.0852455
2.488,-0.083964
2.4943,-0.0827048
2.5006,-0.0814676
2.5069,-0.0802518
2.5132,-0.0790571
2.5195,-0.077883
2.5258,-0.0767292
2.5321,-0.0755952
2.5384,-0.0744806
2.5447,-0.0733851
2.551,-0.0723084
2.5573,-0.0712499
2.5636,-0.0702095
2.5699,-0.0691867
2.5762,-0.0681812
2.5825,-0.0671926
2.5888,-0.0662207
2.5951,-0.0652651
2.6014,-0.0643256
2.6077,-0.0634017
2.614,-0.0624932
2.6203,-0.0615999
2.6266,-0.0607214
2.6329,-0.0598574
2.6392,-0.0590078
2.6455,-0.0581721
2.6518,-0.0573502
2.6581,-0.0565417
2.6644,-0.0557465
2.6707,-0.0549643
2.677,-0.0541949
2.6833,-0.0534379
2.6896,-0.0526933
2.6959,-0.0519607
2.7022,-0.0512399
2.7085,-0.0505307
2.7148,-0.049833
2.7211,-0.0491464
2.7274,-0.0484708
2.7337,-0.0478061
2.74,-0.0471519
2.7463,-0.0465081
2.7526,-0.0458745
2.7589,-0.045251
2.7652,-0.0446373
2.7715,-0.0440333
2.7778,-0.0434388
2.7841,-0.0428536
2.7904,-0.0422776
2.7967,-0.0417106
2.803,-0.0411524
2.8093,-0.0406029
2.8156,-0.0400619
2.8219,-0.0395293
2.8282,-0.039005
2.8345,-0.0384887
2.8408,-0.0379803
2.8471,-0.0374798
2.8534,-0.036987
2.8597,-0.0365016
2.866,-0.0360237
2.8723,-0.0355531
2.8786,-0.0350896
2.8849,-0.0346331
2.8912,-0.0341835
2.8975,-0.0337408
2.9038,-0.0333046
2.9101,-0.0328751
2.9164,-0.032452
2.9227,-0.0320352
2.929,-0.0316246
2.9353,-0.0312202
2.9416,-0.0308218
2.9479,-0.0304292
2.9542,-0.0300425
2.9605,-0.0296616
2.9668,-0.0292862
2.9731,-0.0289164
2.9794,-0.028552
2.9857,-0.0281929
2.992,-0.0278391
2.9983,-0.0274904
3.0046,-0.0271468
3.0109,-0.0268083
3.0172,-0.0264746
3.0235,-0.0261458
3.0298,-0.0258217
3.0361,-0.0255023
3.0424,-0.0251874
3.0487,-0.0248772
3.055,-0.0245713
3.0613,-0.0242698
3.0676,-0.0239727
3.0739,-0.0236797
3.0802,-0.0233909
3.0865,-0.0231063
3.0928,-0.0228256
3.0991,-0.0225489
3.1054,-0.0222762
3.1117,-0.0220072
3.118,-0.021742
3.1243,-0.0214806
3.1306,-0.0212228
3.1369,-0.0209686
3.1432,-0.020718
3.1495,-0.0204708
3.1558,-0.0202271
3.1621,-0.0199867
3.1684,-0.0197497
3.1747,-0.0195159
3.181,-0.0192854
3.1873,-0.019058
3.1936,-0.0188338
3.1999,-0.0186126
3.2062,-0.0183944
3.2125,-0.0181792
3.2188,-0.017967
3.2251,-0.0177576
3.2314,-0.0175511
3.2377,-0.0173474
3.244,-0.0171464
3.2503,-0.0169481
3.2566,-0.0167525
3.2629,-0.0165595
3.2692,-0.0163691
3.2755,-0.0161813
3.2818,-0.0159959
3.2881,-0.0158131
3.2944,-0.0156326
3.3007,-0.0154546
3.307,-0.0152789
3.3133,-0.0151056
3.3196,-0.0149345
3.3259,-0.0147657
3.3322,-0.0145991
3.3385,-0.0144347
3.3448,-0.0142725
3.3511,-0.0141123
3.3574,-0.0139543
3.3637,-0.0137983
3.37,-0.0136444
3.3763,-0.0134924
3.3826,-0.0133425
3.3889,-0.0131944
3.3952,-0.0130483
3.4015,-0.0129041
3.4078,-0.0127617
3.4141,-0.0126211
3.4204,-0.0124824
3.4267,-0.0123454
3.433,-0.0122102
3.4393,-0.0120767
3.4456,-0.0119449
3.4519,-0.0118147
3.4582,-0.0116863
3.4645,-0.0115594
3.4708,-0.0114342
3.4771,-0.0113105
3.4834,-0.0111884
3.4897,-0.0110678
3.496,-0.0109487
3.5023,-0.0108311
3.5086,-0.010715
3.5149,-0.0106004
3.5212,-0.0104872
3.5275,-0.0103753
3.5338,-0.0102649
3.5401,-0.0101558
3.5464,-0.0100481
3.5527,-0.00994175
3.559,-0.00983667
3.5653,-0.00973289
3.5716,-0.00963039
3.5779,-0.00952914
3.5842,-0.00942913
3.5905,-0.00933034
3.5968,-0.00923276
3.6031,-0.00913637
3.6094,-0.00904115
3.6157,-0.00894708
3.622,-0.00885415
3.6283,-0.00876235
3.6346,-0.00867165
3.6409,-0.00858205
3.6472,-0.00849352
3.6535,-0.00840606
3.6598,-0.00831965
3.6661,-0.00823427
3.6724,-0.00814991
3.6787,-0.00806656
3.685,-0.0079842
3.6913,-0.00790282
3.6976,-0.00782241
3.7039,-0.00774295
3.7102,-0.00766442
3.7165,-0.00758683
3.7228,-0.00751015
3.7291,-0.00743437
3.7354,-0.00735948
3.7417,-0.00728548
3.748,-0.00721233
3.7543,-0.00714005
3.7606,-0.0070686
3.7669,-0.00699799
3.7732,-0.0069282
3.7795,-0.00685922
3.7858,-0.00679104
3.7921,-0.00672365
3.7984,-0.00665704
3.8047,-0.0065912
3.811,-0.00652611
3.8173,-0.00646178
3.8236,-0.00639818
3.8299,-0.00633531
3.8362,-0.00627316
3.8425,-0.00621172
3.8488,-0.00615098
3.8551,-0.00609093
3.8614,-0.00603157
3.8677,-0.00597288
3.874,-0.00591485
3.8803,-0.00585748
3.8866,-0.00580076
3.8929,-0.00574468
3.8992,-0.00568923
3.9055,-0.0056344
3.9118,-0.00558019
3.9181,-0.00552658
3.9244,-0.00547358
3.9307,-0.00542117
3.937,-0.00536934
3.9433,-0.00531809
3.9496,-0.00526741
3.9559,-0.00521729
3.9622,-0.00516772
3.9685,-0.00511871
3.9748,-0.00507024
3.9811,-0.0050223
3.9874,-0.00497489
3.9937,-0.004928
4,-0.00488162
